accuracy,val_accuracy,loss,val_loss
0.5540076494216919,0.5400000214576721,0.6857478022575378,0.6746707558631897
0.5708015561103821,0.64083331823349,0.677285373210907,0.653765082359314
0.5793893337249756,0.5433333516120911,0.6928660869598389,0.6823872923851013
0.5778626203536987,0.6358333230018616,0.6748786568641663,0.6639381647109985
0.5849236845970154,0.6000000238418579,0.6668789982795715,0.6487430930137634
0.6375954151153564,0.6858333349227905,0.6462365984916687,0.6028445363044739
0.6202290058135986,0.6449999809265137,0.6446036100387573,0.6199841499328613
0.6343511343002319,0.625,0.6497712135314941,0.6677566170692444
0.6612595319747925,0.5400000214576721,0.6125384569168091,0.7075956463813782
0.660496175289154,0.6783333420753479,0.6033179759979248,0.6032835841178894
0.6889312863349915,0.7116666436195374,0.574273943901062,0.5697852969169617
0.6982824206352234,0.6041666865348816,0.5772690176963806,0.6922503709793091
0.7106870412826538,0.7225000262260437,0.5561865568161011,0.5280992388725281
0.7242366671562195,0.4508333206176758,0.5385780930519104,0.974215567111969
0.7137404680252075,0.7183333039283752,0.5585400462150574,0.528165876865387
0.7404580116271973,0.7608333230018616,0.5065813064575195,0.5020083785057068
0.737022876739502,0.6600000262260437,0.5064907670021057,0.6129710078239441
0.7692748308181763,0.7275000214576721,0.4659344255924225,0.5117514729499817
0.7534351348876953,0.7758333086967468,0.48623716831207275,0.45189717411994934
0.7740458250045776,0.7691666483879089,0.4560683071613312,0.47284412384033203
